01020040,Kita Havelberger Str. 21/Kig ae City,Havelberger Str. 021,39494392
01020050,Kita/Kinder in Bewegung (KiB) gGmbH,Klopstockstr. 029,3640 9507
01020060,Kita der Ev. Kirchengem. St. Johannis,Alt-Moabit 025,39889094
01020080,Kita Birkelinchen/Ev. Kirchengem. Heilige-Geist,Birkenstr. 060,3961079
01020090,KITA Sonnenschein,Pohlstr. 087,2300 5178
01020100,Kita Rathenower Str. 15/Kig ae City,Rathenower Str. 015,74780168
01020110,Kita "Otto",Ottostr. 016,392 79 79
01020120,Kita Sprachwelt,Rostocker Str. 032A,3948 0513
01020160,Ev. Kita Erl oeser,Wikingerufer 009,3912489
01020180,Kita Holsteiner Ufer 12/Kig ae City,Holsteiner Ufer 012,36409506
01020200,"Spreekita",Paulstr. 020D,2263 5770
01020210,Kita der Kath. Kirchengem. St. Laurentius,Bandelstr. 041,39783815
01020230,EKT - Cocorico et Co e.V.,Kluckstr. 029,2579 9626
01020240,Kita Alt-Moabit 117/Kig ae City,Alt-Moabit 117,3980 5060
01020270,AWO Kita Maulwurf,Derfflingerstr. 021,261 89 50
01020280,AWO Kita Schmetterling,Turmstr. 071,397 41 995
01020300,EKT - P aedagogisches Zentrum Bissingzeile e.V.,Bissingzeile 005,261 45 92
01020310,EKT - Frecher Spatz,Elberfelder Str. 018,391 45 40
01020390,Kita des Deutschen Bundestages,Otto-von-Bismarck-Allee 002,227-33395
01020420,EKT - Kleckerburg e.V.,Kirchstr. 022,391 91 87
01020440,Kinderladen Stoppelhopser e.V.,Quitzowstr. 136,395 75 78
01020480,Kita Lehrter Str. 39/Kig ae City,Lehrter Str. 039,397030221
01020490,EKT - Maluch,Stephanstr. 017,396 78 15
01020500,EKT - Perle e.V.,Wilsnacker Str. 014,394 58 59
01020510,Kita Safina/Haus der Weisheit e.V.,Rostocker Str. 021A,3948 0386
01020520,EKT Flocke e.V.,Bochumer Str. 011,392 21 26
01020550,EKT - Drunter & Dr ueber e.V.,Stromstr. 058,395 18 60
01020580,EKT Schneckenhaus e.V./Frecher Spatz e.V.,Flemingstr. 011,392 12 61
01020620,EKT - ALIBABA e.V.,Waldstr. 015,396 26 64
01020630,EKT - Regenbogen e.V.,Calvinstr. 013,393 55 55
01020640,EKT - Kinderladen Badehaus e.V.,Wilsnacker Str. 062,394 60 69
01020670,EKT - Panther  Tiger und Co.,L uebecker Str. 013,3948183
01020680,EKT - Sagaland e.V.,Quitzowstr. 125,395 30 52
01020700,Kita Moa,Emdener Str. 028,395 13 67
01020730,Kita Huttenstr. 22A/Kig ae City,Huttenstr. 022A,3443521
01020740,INA.KINDER.GARTEN L uetzowstrasse,L uetzowstr. 061,2300 5177
01020750,INA.KINDER.GARTEN L ueneburger Strasse,L ueneburger Str. 014,3948 0391
01020760,EKT - Arche Moabit e.V.,Huttenstr. 031,349 58 38
01020770,EKT - Kleiner Frosch/T uerkischer Elternverein Bln-Brbg e.V.,L uebecker Str. 032,3965210
01020780,EKT - "Kids 2000" e.V.,Katharina-Heinroth-Ufer 001,26931422
01020790,KiBiLuga,Bissingzeile 01519,264 12 48
01020820,Kita/P aedagogisches Arbeitskollektiv e.V.,Emdener Str. 047,396 20 71
01020830,Kita/Verein f uer praktische P aedagogik e.V.,Alt-Moabit 133B,392 44 65
01020840,Kinder- und Sch uelerladen Olle Burg e.V.,Waldstr. 042,395 89 58
01020850,EKT - Der Kick - Initiative im Kiez e.V.,Birkenstr. 033,395 49 82
01020860,EKT - Rosa Wolke/Kirschkern e.V.,Bochumer Str. 002,399 40 32
01020870,Kita Hansa-Ufer 3a Kig ae City,Hansa-Ufer 003A,3926076 / 34220664
01020890,Kita am L uetzowplatz 1,L uetzowplatz 001,2610 1890
01020900,Kita Swimmy,Berlichingenstr. 018,39880470
01020910,Kita Sonnenstern,Stendaler Str. 005,39880470
01020950,Kita SOS-Kinderdorf,Waldstr. 023,33099340
01020960,Kita Sigmunds Hof/Studentenwerk Berlin,Siegmunds Hof 017a,939398409
01020970,Kita Kinderstube in Berlin gGmbH,Klopstockstr. 001,39 74 62 54
01021000,FR oeBEL Kindergarten Stepping Stones,L uetzowstr. 106,46 99 77 70
01021010,Kita Cheburashka-Tiergarten,Wilsnacker Str. 040,39886617
01021060,biberbau,Jagowstr. 029,76213750
01021090,Kinderladen Katz & Kedi,Jagowstr. 028,3916129
01021100,EKT "Die B aerenbande",Emdener Str. 056,43056928
01021110,Kita Bunte Sonne,Lehrter Str. 046,856139-33  -34  -35
01021140,Kita "Arlecchino",Alt-Moabit 035,36751325
01021160,Kita Spielraum Perlentaucher,Perleberger Str. 047,39881662
01021170,Kindergarten Schatztruhe,Spenerstr. 037,63966448
